state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,61033546,11,2,3938,44,1494,2579,18396,3163,695,30322
AL,573591,1,0,35,1,27,50,339,41,8,502
VA,2596467,0,0,122,1,30,63,603,61,26,906
FL,6036515,0,0,97,0,63,122,650,212,12,1156
GA,1631414,1,0,105,5,112,70,488,132,11,924
CO,720175,0,0,61,0,21,32,260,89,12,475
AK,217493,0,0,7,0,2,9,17,0,0,35
WA,975609,0,0,59,0,16,23,304,116,19,537
CA,5753121,0,0,309,10,223,306,1879,728,48,3503
AZ,2257852,0,0,55,1,15,50,303,98,5,527
WI,1054639,1,0,89,2,11,27,147,11,7,295
NM,518333,0,0,12,2,5,37,206,62,14,338
AR,390470,1,0,28,0,15,31,248,27,4,354
OK,522640,0,0,30,0,21,31,272,36,2,392
TN,1028108,1,0,50,0,34,80,412,43,3,623
NY,2588904,1,0,313,3,96,144,1054,55,53,1719
DC,394789,0,0,55,0,15,16,174,18,8,286
OR,807262,0,0,109,0,9,20,387,63,27,615
UT,603933,0,0,33,0,4,3,146,15,3,204
TX,6352864,0,0,152,5,92,149,1089,242,11,1740
MN,720717,0,0,69,1,14,19,210,53,7,373
CT,332381,0,0,86,0,31,41,318,42,19,537
MA,838588,0,0,218,2,49,101,651,24,55,1100
DE,214379,0,0,10,0,7,13,57,8,0,95
NJ,801833,1,0,81,0,34,41,325,27,14,523
MD,1083991,0,0,64,0,27,34,285,38,10,458
IN,3715523,1,0,86,1,30,49,423,52,16,658
IL,2468929,0,0,142,0,95,152,652,60,14,1115
SC,886518,0,0,50,0,17,60,513,94,10,744
HI,237271,0,0,13,0,2,15,82,31,0,143
ID,431381,0,0,12,0,0,7,42,3,11,75
IA,981429,0,0,88,1,22,40,292,16,25,484
NV,379996,0,0,2,0,9,10,39,40,3,103
MI,2398225,0,2,166,2,35,86,580,126,19,1016
KY,1137756,0,0,42,0,17,47,360,38,5,509
OH,1768992,1,0,200,0,44,83,797,67,56,1248
MO,1372817,0,0,79,2,27,74,326,63,14,585
KS,539775,0,0,30,0,5,33,227,54,13,362
LA,699209,0,0,26,0,46,84,332,40,3,531
WV,157928,0,0,38,0,12,13,183,6,7,259
MS,440825,1,0,7,1,40,14,390,19,4,476
NC,1393005,0,0,142,1,44,71,902,98,22,1280
ME,192381,0,0,42,0,0,7,93,6,12,160
NH,183745,0,0,49,0,4,16,50,1,11,131
VT,56549,0,0,40,0,5,5,107,6,9,172
WY,81759,1,0,9,0,0,4,44,4,1,63
ND,102043,0,0,21,0,2,12,53,8,4,100
MT,134088,0,0,19,0,1,20,49,5,20,114
NE,345123,0,0,19,1,6,39,70,23,4,162
SD,73375,0,0,12,0,0,3,41,3,1,60
PA,1639164,0,0,300,2,53,107,801,36,27,1326
RI,199672,0,0,55,0,5,16,124,23,6,229
