state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,62712134,23,0,5049,46,1478,2253,15854,3235,639,28577
AL,559716,0,0,50,0,42,52,369,47,9,569
VA,2623604,1,0,161,1,17,55,384,64,21,704
FL,6295924,0,0,127,2,57,81,524,181,6,978
GA,1692907,3,0,112,1,108,74,418,110,11,837
CO,764161,0,0,76,1,18,23,233,62,18,431
AK,217280,0,0,14,0,0,3,11,9,1,38
WA,964578,1,0,63,0,26,38,344,140,10,622
CA,5987996,4,0,468,7,189,204,1586,791,58,3307
AZ,2226940,0,0,41,1,12,40,227,74,4,399
NV,376651,0,0,6,0,2,3,63,35,1,110
WI,1036128,0,0,123,4,9,19,177,27,4,363
NM,507957,0,0,23,4,6,34,195,89,6,357
AR,405601,0,0,33,0,4,39,188,28,4,296
OK,507388,1,0,47,0,8,27,280,31,4,398
TN,1008659,0,0,85,1,54,40,397,45,5,627
NY,3009856,0,0,387,3,95,136,891,43,58,1613
DC,437161,0,0,53,2,21,25,157,10,12,280
OR,829797,0,0,116,0,9,16,337,60,33,571
UT,671245,0,0,28,0,3,3,214,22,6,276
TX,6563142,1,0,198,4,119,135,968,238,20,1683
MN,713012,0,0,113,1,20,16,173,36,12,371
CT,332469,0,0,130,0,20,36,260,32,3,481
MA,938973,2,0,315,1,41,90,502,30,34,1015
DE,227225,0,0,11,0,6,26,61,0,1,105
NJ,879379,0,0,97,0,33,53,315,23,10,531
MD,1097177,0,0,92,0,24,24,233,23,3,399
IN,3681475,0,0,162,1,35,44,517,65,13,837
IL,2439973,1,0,142,2,77,128,513,63,13,939
SC,891577,1,0,32,0,9,50,326,93,3,514
HI,238282,0,0,10,0,3,10,62,62,3,150
ID,435205,0,0,20,0,1,7,69,7,4,108
IA,923478,0,0,103,0,6,42,176,31,20,378
MI,2309964,0,0,169,2,50,79,571,178,39,1088
KY,1109038,4,0,47,0,21,25,263,27,17,404
OH,1784246,0,0,215,0,59,81,655,59,54,1123
MO,1603942,1,0,97,3,22,85,321,99,7,635
KS,603912,1,0,51,1,11,32,203,44,1,344
LA,708303,0,0,39,2,46,47,278,26,0,438
WV,156940,0,0,43,0,18,14,154,10,4,243
MS,443609,0,0,16,1,32,7,235,19,6,316
NC,1451411,2,0,153,0,59,104,630,83,17,1048
ME,196814,0,0,57,0,0,4,57,4,13,135
NH,213040,0,0,72,0,2,10,86,3,11,184
VT,55216,0,0,48,0,1,8,102,4,10,173
WY,79017,0,0,26,0,0,4,30,7,0,67
ND,110782,0,0,15,0,1,6,50,5,2,79
MT,115919,0,0,25,0,1,13,14,9,7,69
NE,345227,0,0,15,0,5,20,105,40,4,189
SD,71307,0,0,10,1,0,7,47,2,0,67
PA,1668133,0,0,439,0,66,130,746,30,32,1443
RI,200398,0,0,74,0,10,4,137,15,5,245
