state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,51752077,17,0,2586,72,1698,2627,23918,4201,646,35765
AL,668084,0,0,19,2,34,33,483,35,3,609
VA,2492526,2,0,91,2,30,73,621,85,24,928
FL,4752396,1,0,59,1,104,87,961,317,23,1553
GA,1720434,1,0,53,1,45,44,664,154,15,977
CO,698519,0,0,54,2,73,33,265,62,27,516
AK,211120,0,0,8,0,0,3,13,7,1,32
WA,886671,0,0,38,0,36,28,362,151,10,625
AZ,2031240,0,0,30,0,19,51,314,128,9,551
NM,475131,0,0,20,1,21,54,270,94,6,466
NV,377003,0,0,6,0,20,9,84,37,2,158
AR,318296,0,0,22,1,15,23,356,46,2,465
TN,1091073,1,0,35,1,20,49,555,58,7,726
CA,5376033,2,0,202,5,206,297,2441,1032,71,4256
DC,460717,0,0,37,0,36,25,289,19,4,410
TX,4552848,1,0,89,4,108,146,1344,373,11,2076
MN,665474,0,0,79,0,12,31,368,58,8,556
CT,314798,3,0,50,0,34,43,305,63,10,508
MA,731780,3,0,135,1,50,157,1027,64,21,1458
NY,2482240,1,0,242,7,127,173,1522,85,54,2211
DE,242182,0,0,5,0,5,6,108,10,2,136
NJ,821096,0,0,41,0,21,57,386,55,10,570
MD,1142387,0,0,46,0,38,53,388,60,6,591
NC,1611455,0,0,94,6,53,94,1022,130,20,1419
PA,1773254,0,0,155,2,71,141,1004,51,32,1456
SC,932240,0,0,25,0,22,41,631,61,5,785
KY,961147,0,0,43,0,30,96,508,43,9,729
WV,218849,0,0,19,0,21,23,234,9,4,310
HI,168789,0,0,2,0,2,7,38,36,0,85
ID,180837,0,0,8,0,0,2,52,7,2,71
IL,2415682,0,0,79,2,71,119,932,65,7,1275
WI,986936,0,0,59,2,11,34,350,36,6,498
IN,766735,0,0,66,1,21,36,469,50,11,654
OH,1450260,1,0,137,6,80,64,1279,94,28,1689
MI,1730428,1,0,114,1,91,84,768,171,39,1269
IA,670139,0,0,61,1,3,39,307,20,14,445
MO,1004035,0,0,44,3,27,83,470,87,9,723
KS,436053,0,0,29,2,19,34,307,32,8,431
OK,526848,0,0,20,0,16,55,489,45,10,635
LA,495920,0,0,13,1,37,50,316,50,7,474
MS,390132,0,0,6,8,16,53,370,38,17,508
ME,190788,0,0,26,0,6,5,190,3,25,255
NH,153586,0,0,42,0,8,11,110,12,32,215
VT,56520,0,0,29,0,0,6,123,3,2,163
UT,573346,0,0,31,7,3,7,97,20,1,166
WY,79722,0,0,4,0,0,5,90,5,4,108
ND,118009,0,0,4,0,1,10,58,9,0,82
MT,85276,0,0,7,1,6,11,31,9,3,68
NE,311892,0,0,16,0,10,23,87,11,1,148
SD,71319,0,0,4,0,2,2,80,5,6,99
OR,685528,0,0,28,0,4,9,227,96,14,378
RI,194304,0,0,60,1,13,8,153,10,4,249
