state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,32052874,46,4,2696,38,1855,2807,30094,4892,790,43222
AL,311232,0,1,26,2,52,32,584,48,14,759
VA,1330735,33,1,86,0,43,87,779,44,30,1103
FL,3141500,1,0,58,0,80,110,1161,315,8,1733
GA,860172,0,0,44,0,47,42,597,159,13,902
CO,192724,0,0,39,0,114,32,476,79,18,758
AK,166256,0,0,4,0,2,4,35,5,1,51
AZ,1188180,1,0,27,0,19,47,414,178,13,699
NM,268525,0,0,21,0,21,45,326,136,8,557
NV,157742,0,0,3,0,5,6,111,77,3,205
AR,247122,0,0,16,0,11,41,391,46,3,508
CA,3284156,1,0,260,16,285,290,3152,1195,92,5291
DC,317479,0,0,25,0,20,27,303,25,6,406
HI,13475,0,0,10,0,1,9,67,19,0,106
WA,466420,1,0,21,1,10,29,392,202,15,671
CT,240012,0,0,53,0,19,32,562,40,5,711
MA,510701,0,0,129,0,53,130,1749,71,15,2147
NY,1494721,1,0,226,0,95,164,2260,95,65,2906
DE,162711,1,0,10,0,10,12,132,2,1,168
MD,719305,0,0,49,0,42,82,523,88,17,801
NC,693730,0,0,77,1,75,139,1108,146,15,1561
TN,503087,1,2,37,0,33,68,568,84,13,806
PA,944638,1,0,171,1,80,129,1639,84,42,2147
SC,722800,0,0,26,1,20,71,552,60,15,745
ID,144928,0,0,15,0,1,4,71,10,5,106
IL,2090824,0,0,89,0,145,111,1161,82,12,1600
WI,812620,0,0,82,1,20,31,465,50,24,673
IN,353990,0,0,59,0,15,40,655,67,2,838
KY,383985,1,0,53,0,34,113,422,36,31,690
OH,897006,0,0,188,2,106,108,1397,143,63,2007
MI,1471987,0,0,121,2,69,94,965,173,27,1451
IA,437366,0,0,48,0,13,35,267,32,13,408
MO,791354,0,0,36,3,30,85,565,91,11,821
KS,336593,0,0,41,1,11,34,384,27,13,511
OK,183951,0,0,18,0,17,50,371,85,12,553
LA,309526,2,0,18,0,23,79,514,97,8,741
TX,2718684,1,0,106,1,79,160,1595,370,28,2340
ME,118241,0,0,24,1,9,5,218,11,29,297
NH,107638,0,0,50,0,0,4,177,7,13,251
VT,47714,0,0,26,0,1,7,174,2,2,212
MN,525132,0,0,69,1,24,27,689,55,16,881
MS,296109,0,0,9,0,35,21,357,44,5,471
UT,272757,0,0,17,0,2,14,184,19,2,238
WY,45033,0,0,6,1,0,1,61,10,4,83
ND,80018,0,0,5,1,2,12,96,11,1,128
MT,61116,0,0,15,1,3,5,28,4,7,63
WV,124750,0,0,20,0,8,23,215,20,11,297
NE,256093,0,0,7,0,13,24,127,34,1,206
NJ,595420,1,0,64,0,31,55,502,65,21,739
SD,44122,0,0,10,0,4,6,52,5,3,80
OR,474658,0,0,29,1,15,14,294,115,13,481
RI,133836,0,0,53,0,8,17,207,29,1,315
