state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,53601033,15,1,2926,35,1622,2469,21999,3588,739,33394
AL,619157,4,0,33,0,30,32,491,44,13,647
VA,2123730,0,0,99,0,40,52,625,63,21,900
FL,5487561,1,0,61,0,114,109,828,281,27,1421
GA,1561112,0,0,55,0,66,33,689,127,15,985
CO,748236,0,0,36,0,50,28,299,72,25,510
AK,221522,0,0,7,0,0,6,9,2,1,25
WA,936280,0,0,48,0,23,30,374,151,12,638
CA,5544984,3,0,260,6,215,290,2436,784,69,4063
AZ,1845878,0,0,27,0,16,55,298,138,9,543
NM,512545,0,1,16,3,15,47,259,71,4,416
AR,327851,1,0,18,0,8,25,224,48,3,327
OK,542519,0,0,22,0,7,56,379,32,2,498
TN,972937,0,0,31,0,29,47,511,49,7,674
DC,364063,0,0,47,0,32,21,211,12,4,327
TX,5326777,0,0,87,1,88,133,1252,282,35,1878
MN,715209,0,0,65,0,9,25,286,48,8,441
CT,323011,0,0,73,0,31,33,245,26,13,421
MA,753322,1,0,205,4,47,124,805,59,48,1293
NY,2477668,1,0,246,3,112,151,1414,76,57,2060
DE,192706,0,0,6,0,9,6,65,3,3,92
NJ,739740,0,0,67,0,26,67,375,48,10,593
MD,974196,1,0,55,0,41,61,362,79,9,608
HI,206966,0,0,16,0,4,11,67,63,3,164
ID,240898,0,0,13,3,4,3,71,3,2,99
IL,2597827,0,0,87,1,80,148,673,44,12,1045
WI,1015496,0,0,71,0,10,19,271,18,11,400
IN,834424,0,0,73,1,25,40,521,50,8,718
KY,1003779,0,0,40,1,42,53,457,35,10,638
OH,1671476,1,0,150,1,70,73,1212,101,47,1655
MI,2331881,1,0,102,1,75,67,673,119,21,1059
IA,733331,0,0,46,3,8,54,304,22,15,452
MO,1054982,0,0,62,1,26,89,353,89,8,628
KS,440899,0,0,33,2,6,36,260,19,5,361
WV,162716,0,0,35,1,23,8,179,1,9,256
LA,616831,0,0,18,0,37,51,275,57,8,446
NC,1367925,1,0,110,0,39,83,991,110,20,1354
MS,406735,0,0,7,0,20,23,375,41,18,484
ME,199543,0,0,37,0,3,12,109,3,18,182
NH,154999,0,0,48,0,3,9,127,6,28,221
SC,826083,0,0,21,0,26,48,714,75,4,888
VT,57367,0,0,28,0,1,10,144,3,4,190
UT,808613,0,0,16,1,4,10,89,14,1,135
WY,80704,0,0,13,1,0,2,123,8,1,148
ND,106387,0,0,13,0,3,7,47,3,2,75
MT,121130,0,0,8,0,7,7,33,4,6,65
NE,338344,0,0,17,0,3,12,84,13,1,130
NV,354908,0,0,2,0,8,8,83,27,1,129
SD,76761,0,0,8,0,2,1,67,6,2,86
OR,756361,0,0,59,0,9,17,235,100,41,461
PA,1525619,0,0,186,1,70,130,913,41,35,1376
RI,197044,0,0,43,0,6,7,112,18,3,189
