state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,32052874,8,0,2708,43,1855,2991,31974,5475,936,45990
AL,311232,0,0,16,1,34,21,526,52,9,659
VA,1330735,1,0,107,0,40,66,890,36,38,1178
FL,3141500,1,0,53,1,71,129,1129,346,19,1749
GA,860172,0,0,33,0,43,42,625,171,10,924
CO,192724,0,0,51,0,126,49,579,97,33,935
AK,166256,0,0,6,0,5,10,26,3,1,51
AZ,1188180,0,0,24,2,22,67,397,217,14,743
NM,268525,0,0,12,0,5,54,211,131,8,421
NV,157742,0,0,1,0,4,7,93,73,1,179
AR,247122,0,0,10,0,3,24,390,51,1,479
CA,3284156,1,0,272,8,252,318,3272,1504,95,5722
DC,317479,0,0,23,0,26,20,302,28,2,401
HI,13475,0,0,3,0,3,9,48,15,4,82
WA,466420,0,0,25,0,8,21,377,208,19,658
CT,240012,0,0,41,1,15,35,545,49,10,696
MA,510701,0,0,157,1,66,184,2079,82,25,2594
NY,1494721,0,0,228,1,107,188,2256,101,67,2948
DE,162711,0,0,10,0,9,16,156,7,8,206
MD,719305,0,0,60,0,47,74,589,97,11,878
NC,693730,0,0,75,0,58,145,1054,167,34,1533
TN,503087,0,0,42,2,50,77,759,94,26,1050
PA,944638,1,0,175,1,103,136,1582,109,36,2143
SC,722800,0,0,34,0,32,77,539,63,12,757
ID,144928,0,0,9,0,0,9,69,2,7,96
IL,2090824,0,0,85,1,179,151,1373,77,20,1886
WI,812620,0,0,96,6,15,28,505,30,13,693
IN,353990,0,0,49,0,27,31,709,66,9,891
KY,383985,0,0,33,0,19,148,520,30,42,792
OH,897006,0,0,161,0,89,94,1620,149,64,2177
MI,1471987,1,0,113,1,54,86,1036,175,37,1503
IA,437366,0,0,65,0,13,57,405,36,25,601
MO,791354,0,0,53,3,27,70,647,121,21,942
KS,336593,0,0,26,0,27,46,399,29,8,535
OK,183951,0,0,26,1,15,48,372,69,5,536
LA,309526,1,0,17,0,47,60,646,92,9,872
TX,2718684,0,0,119,6,89,142,1678,431,38,2503
ME,118241,0,0,29,0,5,11,264,18,33,360
NH,107638,0,0,43,0,1,21,213,6,22,306
VT,47714,0,0,8,0,2,7,190,4,5,216
MN,525132,0,0,75,2,27,34,652,58,10,858
MS,296109,0,0,7,1,22,22,287,27,6,372
UT,272757,0,0,12,2,2,10,159,21,5,211
WY,45033,0,0,14,0,0,1,79,9,3,106
ND,80018,0,0,7,0,5,13,112,8,3,148
MT,61116,0,0,9,0,6,12,53,8,25,113
WV,124750,2,0,16,0,11,19,238,7,6,299
NE,256093,0,0,13,0,5,25,138,28,2,211
NJ,595420,0,0,74,1,26,35,557,93,11,797
SD,44122,0,0,11,0,1,3,64,8,5,92
OR,474658,0,0,26,1,5,27,344,128,14,545
RI,133836,0,0,54,0,7,12,221,44,5,343
