state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,46551054,16,3,2669,33,1850,2698,29344,4308,712,41633
AL,615904,0,0,16,1,53,49,551,36,4,710
VA,2203941,0,0,99,1,40,56,708,68,22,994
FL,4218911,0,0,46,1,99,110,1120,282,27,1685
GA,1454634,0,0,42,0,44,40,760,152,16,1054
CO,644156,0,0,31,0,104,27,385,44,23,614
AK,198279,0,0,0,0,0,7,18,4,0,29
AZ,1740059,0,0,19,0,14,49,338,123,14,557
NM,413440,0,0,25,0,24,36,252,125,15,477
NV,330053,0,0,3,0,3,3,84,38,6,137
AR,306157,2,0,17,0,13,19,363,44,1,459
CA,5052123,0,0,262,4,258,360,3160,1049,93,5186
DC,435962,0,0,25,1,37,30,278,18,9,398
HI,161171,0,0,7,0,5,10,61,24,0,107
WA,705658,0,0,27,0,19,15,412,142,12,627
CT,271653,0,0,59,0,26,38,488,49,3,663
MA,713618,0,0,137,0,42,147,1536,57,21,1940
NY,2340783,1,0,212,1,129,161,2260,100,65,2929
DE,215413,0,0,6,0,11,10,143,4,1,175
NJ,760506,0,0,72,0,28,46,541,95,36,818
MD,1049940,0,0,40,0,50,65,504,74,8,741
NC,1439777,0,0,60,2,85,118,1180,129,21,1595
TN,881977,0,0,31,0,36,69,530,57,8,731
PA,1553481,0,1,188,0,89,142,1493,57,33,2003
SC,833722,0,0,39,0,30,69,738,57,9,942
KY,886115,0,0,47,0,25,60,444,56,27,659
ID,175957,0,0,7,0,0,6,47,7,2,69
IL,2205988,5,0,76,2,83,139,1137,70,8,1520
WI,885098,0,0,74,0,15,20,339,31,3,482
IN,699878,1,0,62,0,20,18,571,60,8,740
OH,1282977,0,0,152,8,84,104,1297,104,52,1801
MI,1526083,0,0,136,0,71,91,1056,198,21,1573
IA,566024,0,0,52,1,7,59,315,28,13,475
MO,940397,4,0,71,1,42,69,572,109,5,873
KS,418087,0,0,29,0,29,31,367,25,8,489
OK,478161,0,0,22,0,14,50,417,47,3,553
LA,459096,2,0,27,0,28,60,557,68,9,751
TX,4170785,0,0,90,5,75,110,1441,327,17,2065
ME,186870,1,0,16,1,11,15,243,5,16,308
NH,143057,0,0,49,0,5,9,162,17,13,255
VT,54485,0,0,22,0,0,6,186,6,9,229
MN,566881,0,0,67,0,29,28,493,56,7,680
MS,346344,0,1,8,3,12,28,377,40,12,481
UT,500487,0,0,28,0,2,7,203,39,5,284
WY,74143,0,0,7,0,0,5,74,6,1,93
ND,113704,0,1,7,0,3,12,117,6,0,146
MT,80594,0,0,10,0,15,3,34,7,7,76
WV,136257,0,0,20,1,12,37,228,11,7,316
NE,275498,0,0,18,0,9,19,158,27,1,232
SD,66637,0,0,7,0,4,5,60,4,0,80
OR,579528,0,0,51,0,8,13,339,95,8,514
RI,190605,0,0,51,0,8,18,207,31,3,318
